"Rocky.1","Rocky.2","Rocky.3","Rocky.4","Rocky.5","consumerID"
5,5,5,4,3,2308851
4,5,5,5,5,2308965
5,4,4,5,3,2309047
5,5,5,5,5,2309157
5,5,5,4,4,2310373
4,4,4,5,3,2311084
5,4,4,4,4,2311863
5,4,4,4,4,2314898
5,5,5,5,5,2315135
4,3,3,2,1,2316081
4,3,4,3,3,2316252
5,5,5,4,2,2317156
5,5,5,5,3,2317435
5,5,5,5,5,2317644
4,4,5,4,5,2318745
4,4,4,3,3,2319442
4,4,3,4,2,2319565
5,5,5,5,5,2319864
4,4,4,5,4,2320450
5,3,4,4,4,2320473
4,3,3,3,2,2320697
4,3,3,3,2,2322383
4,3,4,3,4,2323080
5,5,5,5,1,2323112
5,4,4,4,1,2323957
5,4,3,3,3,2324287
5,5,5,5,1,2324757
4,3,2,1,1,2325040
5,5,5,5,5,2325776
2,2,3,2,2,2325794
5,5,5,5,5,2325822
5,4,4,4,3,2326007
5,4,3,4,2,2326186
5,5,3,4,3,2326306
5,5,5,5,4,2326760
5,3,3,3,2,2327743
4,4,4,5,4,2328701
4,4,3,3,3,2329026
5,5,5,5,5,2330531
5,3,3,4,3,2330735
3,4,3,3,4,2330786
5,5,4,5,4,2331646
5,5,5,5,5,2331843
3,3,3,3,3,2332377
5,4,4,4,3,2333763
5,4,4,4,4,2335203
5,4,4,3,3,2335457
5,5,5,5,5,2337931
3,3,3,2,1,2338157
4,5,4,4,3,2338453
4,3,3,4,3,2338809
3,3,3,4,3,2339387
5,5,3,3,3,2339926
5,5,5,5,3,2340324
3,3,3,3,3,2340639
4,4,4,4,4,2340698
4,3,2,3,2,2340947
5,5,5,5,3,2341389
5,5,5,5,5,2341391
5,4,3,3,2,2341852
5,5,5,5,4,2342214
4,4,3,3,3,2342489
5,4,3,3,3,2343385
5,5,5,5,5,2343712
4,3,3,2,1,2343748
5,4,3,3,3,2345098
2,2,3,2,2,2345454
4,3,3,3,2,2345628
4,4,4,4,4,2345686
3,3,3,3,2,2346006
4,4,3,3,4,2347526
4,4,4,4,4,2347565
5,4,4,4,3,2349412
5,5,5,5,3,2349872
4,4,4,4,4,2350588
5,5,5,5,5,2351296
5,5,5,5,5,2352287
4,3,3,2,1,2353302
3,2,2,3,3,2354740
4,4,4,3,4,2355384
4,4,4,4,2,2355398
5,4,3,4,1,2355625
3,2,2,2,2,2355630
5,5,5,5,5,2356655
5,5,5,4,4,2357468
4,4,4,5,3,2357562
3,2,2,3,1,2358238
5,4,4,5,4,2358949
5,5,5,5,5,2359105
5,4,4,4,3,2359767
3,4,4,4,1,2359778
4,4,4,3,3,2360117
5,5,5,5,5,2360378
5,4,4,4,2,2360721
3,5,3,4,5,2360767
5,4,4,5,5,2360796
4,3,3,2,1,2360906
4,4,4,3,3,2361532
5,5,5,5,5,2362776
3,5,4,4,3,2363249
5,5,4,5,4,2363788
5,5,5,5,4,2365827
4,4,4,5,4,2365871
5,4,4,4,1,2365876
4,3,1,1,1,2366006
5,5,5,5,5,2366462
4,4,4,4,3,2367323
4,4,3,3,2,2368526
2,3,3,3,3,2368569
3,3,3,3,3,2368618
5,4,4,3,2,2368644
5,5,4,4,3,2370789
5,5,5,5,5,2370879
5,5,5,5,2,2370967
4,3,3,3,3,2372415
4,4,4,4,4,2372744
4,4,4,3,4,2374223
4,4,3,3,3,2374286
5,4,5,4,4,2374380
5,5,4,5,4,2374965
5,5,4,5,4,2375687
5,4,4,3,3,2375713
4,2,2,2,2,2375962
5,4,4,4,4,2376014
4,4,4,4,4,2376121
5,4,3,2,2,2378085
2,2,2,2,3,2378317
5,5,5,4,1,2378393
5,5,4,5,5,2378591
5,5,4,4,3,2378666
4,4,4,4,3,2379036
5,5,5,4,4,2379494
3,3,3,3,3,2379776
5,4,4,4,2,2380810
5,4,5,4,5,2382036
3,3,3,3,3,2384177
5,5,5,5,5,2384948
4,3,3,3,3,2385072
4,4,4,5,2,2385389
5,4,4,5,3,2385466
5,5,5,5,5,2386047
5,5,5,5,5,2386059
2,2,3,3,2,2386348
4,3,3,3,3,2386606
4,4,3,3,4,2387024
4,2,2,2,3,2387463
3,4,3,4,1,2387919
4,5,3,5,2,2387961
4,3,3,3,3,2388205
4,4,4,4,4,2388250
5,5,5,5,4,2388831
2,2,2,2,2,2389736
5,5,5,5,5,2389860
4,4,4,4,4,2389989
4,3,4,4,2,2390609
5,3,2,2,1,2392037
4,5,4,3,3,2392051
5,5,5,5,5,2392623
5,5,5,5,3,2392654
5,5,5,5,5,2393574
4,4,3,3,2,2393632
5,5,5,5,4,2394035
5,4,3,3,3,2394136
4,3,3,3,1,2394211
4,4,4,4,4,2394464
5,5,4,4,3,2394704
5,5,5,5,3,2394802
5,5,5,4,4,2396004
2,4,3,3,5,2396118
1,1,1,2,2,2396207
4,4,4,3,3,2397008
5,4,3,3,3,2397061
5,4,4,4,2,2397383
4,2,2,1,1,2397798
5,5,4,5,4,2398044
4,3,3,3,3,2398923
4,4,4,4,3,2399402
5,5,5,5,4,2399842
5,5,5,5,5,2400234
5,4,4,4,3,2400645
4,4,4,4,1,2400911
5,4,5,4,4,2401052
2,3,5,5,5,2401585
4,3,3,4,3,2401635
5,5,5,5,5,2402914
4,3,2,3,1,2402961
3,3,3,3,2,2403601
5,5,5,5,5,2403913
5,5,5,5,5,2404972
5,4,3,3,4,2405311
5,5,5,5,5,2405421
4,4,4,3,4,2405506
5,5,5,5,5,2405998
5,5,5,5,5,2406034
5,4,3,4,4,2406110
3,3,3,3,3,2406259
3,3,4,4,2,2406958
5,5,5,5,4,2407154
4,5,5,5,4,2407177
5,3,4,4,4,2407568
3,3,3,3,3,2408956
5,5,5,5,5,2409585
3,3,4,4,2,2409746
4,4,4,4,4,2410085
4,4,4,4,3,2410473
3,2,2,3,2,2411453
3,3,3,4,2,2412160
5,5,5,5,4,2412302
5,4,4,5,3,2412596
5,5,5,5,5,2412698
5,5,4,3,3,2413595
5,5,5,5,5,2413747
5,5,5,5,5,2414106
5,5,3,3,2,2414580
2,2,2,2,2,2415196
4,3,2,2,2,2415589
5,5,5,5,3,2416290
4,5,4,4,4,2416335
5,5,5,5,5,2417766
4,4,4,3,2,2417983
4,4,3,4,2,2419024
5,4,5,5,4,2419242
5,5,5,5,4,2419494
3,3,3,3,3,2419814
4,4,3,2,2,2420001
5,5,5,3,3,2420083
5,5,4,4,5,2420366
2,3,3,3,2,2421283
4,3,3,5,2,2422758
5,5,5,3,3,2423049
3,2,2,2,2,2424683
4,3,3,4,1,2425741
5,4,4,3,3,2426587
4,4,4,4,4,2427055
4,4,4,1,1,2427410
5,5,5,4,2,2427786
4,4,4,4,4,2428165
5,5,5,5,5,2429294
4,3,3,4,3,2429310
5,5,4,5,5,2429396
5,5,5,5,3,2429554
5,5,5,5,5,2429789
3,2,1,1,1,2430041
5,5,5,5,4,2430300
3,3,3,3,3,2431382
5,5,5,5,4,2431452
5,4,4,4,4,2432162
4,5,5,5,5,2432474
5,5,5,5,3,2432848
4,3,3,3,4,2432917
3,3,4,4,3,2434632
5,4,4,4,3,2435015
4,4,4,5,2,2435556
3,3,2,2,1,2436349
4,3,3,2,2,2436744
5,5,5,5,5,2437565
5,4,5,4,5,2438107
4,4,3,4,3,2438449
5,5,4,4,1,2438614
5,5,5,5,5,2439370
3,3,3,3,3,2439493
5,5,5,5,5,2439534
3,3,3,3,3,2440242
5,5,5,4,3,2440481
5,4,4,5,1,2440595
5,5,5,5,5,2440852
5,5,5,5,5,2441914
5,4,4,5,4,2442434
5,5,5,5,3,2442480
5,4,4,4,4,2442910
5,5,5,5,4,2442925
5,5,5,5,3,2444202
5,4,4,4,3,2444215
5,5,4,3,4,2444804
5,5,5,5,5,2446265
5,5,5,5,5,2447627
2,2,3,3,3,2448660
5,5,5,5,4,2450671
5,4,4,5,5,2450942
3,3,3,3,3,2451368
4,4,5,5,4,2451643
5,4,4,4,2,2452367
3,3,2,4,3,2452430
5,5,5,5,3,2452446
5,4,4,4,4,2452906
5,5,5,5,5,2453349
5,5,5,5,5,2453611
5,4,4,5,3,2454587
4,4,4,3,3,2455503
4,4,4,3,3,2456816
5,4,4,5,4,2456967
2,2,2,2,2,2457095
5,4,4,3,3,2457240
5,4,4,5,4,2457281
4,3,4,3,2,2457851
4,3,3,3,3,2457857
5,5,5,5,5,2458826
5,4,3,4,2,2459229
5,5,5,3,4,2460374
3,3,3,3,3,2461142
5,5,4,4,5,2464081
5,5,5,5,3,2464431
5,5,5,3,3,2465216
5,5,5,5,5,2465236
5,5,5,5,5,2465288
5,4,4,4,4,2465662
5,5,2,4,2,2466231
4,4,4,4,4,2466242
5,4,4,4,4,2466950
5,4,2,3,1,2467784
5,3,4,4,3,2468191
4,4,4,3,2,2469479
5,4,3,4,3,2470313
5,5,5,5,5,2470375
4,5,5,5,5,2471417
5,5,5,5,5,2471738
4,4,4,4,4,2472612
3,4,3,3,4,2472640
5,5,5,5,5,2472759
5,5,4,3,1,2472909
5,5,5,4,1,2473261
4,4,4,4,4,2473820
5,5,5,5,5,2474804
4,4,4,3,4,2474839
5,5,5,4,5,2475865
2,2,2,2,2,2476195
5,5,5,5,4,2476251
5,4,4,4,5,2476598
5,5,5,5,3,2477414
5,5,5,5,4,2477588
5,4,4,3,2,2479320
4,3,3,2,3,2480001
4,4,3,4,4,2480248
5,4,4,5,4,2480262
5,5,4,4,4,2481068
5,5,5,5,5,2481883
4,3,3,3,2,2482831
5,4,3,3,3,2483353
5,3,2,2,2,2483740
3,2,2,2,2,2484551
5,5,5,5,5,2485278
5,5,5,5,5,2485548
4,3,4,5,2,2487480
5,5,3,3,2,2487508
3,5,4,4,1,2487812
3,3,3,3,3,2487958
3,3,4,3,3,2488357
5,5,5,5,5,2488790
5,5,4,5,4,2489377
4,3,3,2,2,2490784
2,1,1,1,1,2491226
5,4,5,3,3,2491366
5,5,5,5,5,2491997
4,3,2,2,1,2492103
5,4,4,3,2,2492458
4,2,2,2,2,2492756
5,5,5,5,5,2493281
4,4,3,4,3,2494753
5,5,5,5,5,2494829
5,5,5,5,3,2494847
3,5,4,5,3,2495043
5,3,5,5,3,2495253
4,4,5,4,5,2495256
5,3,4,3,2,2495474
4,3,3,3,1,2496492
4,3,3,4,2,2496874
5,5,5,5,1,2497164
5,5,5,5,4,2497599
5,5,5,4,3,2497731
1,1,1,1,1,2497991
5,5,5,5,4,2498073
4,4,4,3,3,2499884
5,5,5,5,4,2500316
4,4,4,4,3,2502112
3,3,5,5,5,2502816
5,4,4,4,3,2502917
5,5,5,5,5,2504674
5,4,3,3,3,2505243
4,3,2,1,1,2505740
5,5,5,5,5,2507981
3,3,3,5,3,2507985
5,5,5,3,3,2508768
5,5,5,4,4,2509588
5,5,4,5,3,2509907
4,3,3,4,3,2509976
5,5,5,4,5,2510551
5,4,3,3,3,2511850
5,5,4,4,4,2512398
4,4,4,4,2,2512427
5,5,5,5,4,2514777
5,5,5,5,5,2516386
5,5,5,5,5,2517630
4,4,4,4,4,2518103
5,5,5,5,5,2519096
5,5,5,5,5,2519120
5,4,3,3,2,2519299
4,4,4,4,3,2519310
4,4,3,3,2,2519865
4,4,4,5,3,2520398
3,4,3,2,3,2520506
3,3,4,5,1,2520834
5,5,5,5,5,2521044
5,4,5,5,5,2521079
5,5,5,5,5,2522960
5,3,4,5,3,2523125
4,4,4,4,4,2523610
4,3,4,2,4,2523930
5,4,4,3,1,2524400
5,4,5,5,5,2525813
4,4,4,4,2,2529178
5,5,5,5,5,2529187
5,4,3,4,1,2529630
4,3,4,4,2,2529835
4,4,4,5,4,2530159
5,4,4,4,4,2531016
1,2,2,2,3,2531844
4,4,4,4,3,2532100
5,5,3,5,2,2532721
3,3,3,3,3,2533336
3,1,2,1,2,2534061
4,5,4,5,2,2534507
5,2,4,3,5,2534532
3,2,2,3,4,2534578
5,4,4,4,4,2534701
4,5,4,5,3,2534832
4,3,3,3,4,2535052
4,3,3,4,3,2535229
5,5,4,4,3,2535787
4,4,3,3,3,2536114
5,5,3,3,3,2536362
4,4,5,5,2,2536450
4,2,2,2,1,2536547
5,5,5,5,5,2537424
5,5,5,5,5,2537543
4,4,4,4,4,2538094
5,4,5,5,3,2538105
5,4,4,5,5,2538677
4,4,4,4,3,2540684
5,4,3,2,1,2541939
4,4,4,4,3,2542528
4,5,5,5,5,2543780
5,5,3,4,5,2544518
3,2,3,2,3,2544532
5,5,5,5,4,2546014
5,4,4,4,3,2547391
3,4,2,2,2,2547949
5,4,4,4,4,2548434
5,5,5,5,4,2548832
3,4,3,3,2,2549238
4,3,4,4,2,2549409
5,4,4,4,3,2549931
5,4,4,3,3,2550108
5,5,5,5,5,2551497
4,3,3,3,3,2551641
4,4,4,4,1,2551764
5,5,5,5,5,2552047
5,5,4,4,2,2552970
5,5,5,5,5,2553056
3,3,2,2,2,2554379
2,2,2,3,2,2554548
4,3,3,3,2,2554745
5,5,5,5,5,2556435
5,5,4,4,4,2556571
3,4,4,3,2,2557043
4,1,1,1,1,2557307
5,4,4,4,3,2557491
5,4,3,2,1,2557710
5,5,5,5,4,2557762
5,5,5,5,1,2559157
5,5,4,5,5,2560099
4,5,5,4,5,2560726
5,4,4,4,4,2560930
5,4,3,3,2,2561536
5,5,5,4,4,2561608
5,4,3,2,2,2561713
4,4,4,4,2,2561749
5,4,4,3,3,2563596
5,5,4,4,4,2563831
5,5,5,5,5,2563957
3,4,4,4,4,2564634
5,5,5,5,5,2565249
4,2,2,2,1,2566515
5,5,5,5,5,2566621
4,4,4,3,4,2566950
4,4,4,4,4,2567147
4,3,3,3,3,2567237
4,2,2,2,2,2568839
4,4,3,4,2,2568937
4,3,3,3,2,2571860
4,3,2,4,3,2572055
3,3,3,3,2,2573509
5,5,5,4,2,2574128
3,3,3,3,3,2574258
4,3,3,1,1,2574477
4,4,4,4,3,2575022
4,4,4,3,3,2575367
5,5,5,4,4,2576537
5,4,4,4,4,2576843
5,3,2,4,1,2578802
4,3,3,3,3,2578830
3,4,3,5,5,2580555
5,5,4,3,2,2581018
5,4,4,4,4,2581379
5,3,3,4,3,2583140
4,4,4,4,3,2583187
4,4,3,3,3,2584955
5,5,4,5,4,2584980
5,5,5,5,5,2585697
4,4,4,5,5,2586930
5,5,5,5,5,2587689
5,4,3,3,5,2587909
5,5,5,5,5,2588348
4,5,5,3,3,2589121
5,4,4,4,2,2589856
5,5,3,3,3,2590515
5,5,5,5,5,2590895
4,3,4,5,3,2592095
4,4,4,4,4,2593204
4,2,3,1,1,2593441
5,4,4,5,5,2594016
5,5,5,5,4,2594535
2,2,2,2,2,2595011
4,4,4,4,2,2595747
5,5,5,5,3,2595888
4,4,4,4,4,2596598
5,5,5,5,4,2597040
3,3,3,3,1,2597760
5,5,5,5,5,2597793
3,3,3,3,2,2598508
5,4,4,4,2,2598574
5,5,5,5,5,2599093
5,4,4,5,3,2599262
4,4,5,4,1,2599774
3,3,3,3,3,2600217
3,2,3,3,4,2600558
3,2,1,1,1,2602019
3,4,4,4,3,2602249
5,5,5,3,2,2602720
5,4,4,4,4,2602874
5,5,5,5,5,2603551
4,5,5,4,2,2604217
5,5,5,5,4,2604264
5,5,5,5,5,2604473
5,5,5,5,1,2605785
5,4,4,4,3,2606295
5,5,5,5,5,2606799
5,4,4,3,2,2607171
3,3,3,4,3,2608047
4,3,2,3,2,2609677
5,4,4,3,3,2610058
5,5,4,5,5,2610356
4,3,3,3,3,2610660
4,4,3,5,2,2610959
3,4,4,5,3,2612104
4,4,5,5,4,2612957
5,5,5,5,5,2614806
5,5,5,5,5,2615129
4,4,3,3,1,2615549
5,4,4,5,5,2616210
5,5,4,3,3,2616301
4,3,3,3,1,2617189
4,3,3,3,3,2617727
5,5,4,4,3,2619021
5,5,5,5,2,2619375
4,3,4,4,4,2619515
3,3,3,3,3,2620687
5,4,5,5,4,2622045
4,4,4,4,4,2622838
4,4,4,5,4,2622994
4,3,3,2,2,2623852
4,4,3,4,5,2624159
5,4,4,3,3,2624480
5,5,5,5,4,2624910
5,4,4,3,3,2625295
4,3,2,3,1,2625420
3,3,3,3,3,2625649
5,4,3,3,1,2626336
5,4,5,5,5,2626507
5,4,5,4,4,2627834
4,4,3,3,3,2628763
5,4,4,4,5,2629599
5,4,3,1,3,2629660
5,4,4,5,2,2630478
5,5,5,5,4,2630827
3,4,4,4,3,2630854
5,5,5,5,4,2630871
5,4,5,5,3,2631240
5,2,2,2,2,2631950
5,1,1,1,1,2632868
3,3,1,1,1,2633357
4,4,4,4,4,2633733
5,5,4,3,2,2634195
5,5,5,5,4,2634682
5,5,5,5,5,2634707
5,5,5,4,4,2636158
5,4,4,5,4,2636378
4,4,4,5,5,2636398
4,4,5,4,3,2637503
4,5,5,5,1,2637755
3,3,2,2,2,2638856
5,4,4,4,4,2639115
5,5,5,5,4,2640656
4,4,4,4,4,2640749
5,3,5,4,2,2641753
4,2,2,3,2,2641824
5,5,5,5,5,2643383
2,2,2,2,2,2643596
5,5,5,5,5,2643806
4,3,3,4,4,2644964
4,3,3,3,1,2645476
5,4,4,4,4,2645579
5,4,4,3,2,2645828
4,3,3,2,2,2646574
4,3,3,3,3,2647197
5,5,5,4,3,2647888
4,3,2,2,4,2648572
4,4,3,3,2,2648885
4,4,4,5,5,2649267
5,5,5,5,3,2649335
